origin,text,type,category
manual,show,class,abstract-class
manual,model id,string,attribute
manual,review,none,none
manual,base,float,attribute
manual,conductor,class,class
manual,jaguar,none,none
manual,restaurant,class,class
manual,businessman,class,class
manual,quantity,float,attribute
manual,assistant,class,class
manual,intercourse,none,none
manual,series,class,class
manual,missionary,class,class
manual,protocol,class,class
manual,engineer,class,class
manual,amount,float,attribute
manual,capacity,float,attribute
manual,club,class,class
manual,surprise,none,none
manual,roommate,class,class
manual,commander,class,class
manual,pocketbook,class,class
manual,accomplishment,class,class
manual,catsup,none,none
manual,rows,integer,attribute
manual,astrologer,class,class
manual,publicity,none,none
manual,maid,class,class
manual,Employees,class,class
manual,interview,class,class
manual,doctor,class,class
manual,offering,class,abstract-class
manual,pianist,class,class
manual,mailbox,string,attribute
manual,idiot,none,none
manual,horsepower,float,attribute
manual,motel,class,class
manual,account,class,class
manual,molecule,class,class
manual,councilperson,class,class
manual,magnitude,float,attribute
manual,classification,enumeration,attribute
manual,model,class,class
manual,flight,class,abstract-class
manual,proctor,class,class
manual,alley,class,class
manual,polo,none,none
manual,buyer,class,class
manual,unit,class,class
manual,agreement,class,class
manual,school,class,class
manual,lever,none,none
manual,kind,enumeration,attribute
manual,flight,class,abstract-class
manual,cloakroom,class,class
manual,elite,none,none
manual,subtitle,string,attribute
manual,rating,enumeration,attribute
manual,classification,enumeration,attribute
manual,family name,string,attribute
manual,handful,none,none
manual,payment,class,class
manual,blackbird,none,none
manual,escalator,none,none
manual,dob,date,attribute
manual,citizenship,enumeration,attribute
manual,crewmember,class,class
manual,size,float,attribute
manual,rpm,float,attribute
manual,subsidiary,class,class
manual,editor,class,class
manual,president,class,class
manual,hiring date,date,attribute
manual,rally,none,none
manual,struggle,none,none
manual,density,float,attribute
manual,beneficiary,class,class
manual,red,none,none
manual,photograph,class,class
manual,councilman,class,class
manual,project,class,class
manual,variety,enumeration,attribute
manual,airship,class,class
manual,signal,string,attribute
manual,schedule,class,class
manual,transaction,class,class
manual,piano,class,class
manual,future date,date,attribute
manual,trader,class,class
manual,detail,string,attribute
manual,class,enumeration,attribute
manual,plumber,class,class
manual,velocity,float,attribute
manual,aim,string,attribute
manual,journalist,class,class
manual,temperature,float,attribute
manual,mpg,float,attribute
manual,group,enumeration,attribute
manual,psychoanalyst,class,class
manual,illiteracy,none,none
manual,accompanist,class,class
manual,recipient,class,class
manual,scarf,none,none
manual,contributor,class,class
manual,expense,float,attribute
manual,flights,class,abstract-class
manual,rainy,none,none
manual,notebook,class,class
manual,Student,class,class
manual,train,class,abstract-class
manual,agent,class,class
manual,row,integer,attribute
manual,circumference,float,attribute
manual,row number,integer,attribute
manual,brand,enumeration,attribute
manual,flights,class,abstract-class
manual,probation,none,none
manual,mother,class,class
manual,legislation,class,class
manual,zoologist,class,class
manual,attenuation,none,none
manual,witch,none,none
manual,gene,enumeration,attribute
manual,pin,string,attribute
manual,sandpaper,none,none
manual,type,enumeration,attribute
manual,staircase,none,none
manual,actor,class,class
manual,intuition,none,none
manual,team,class,class
interaction,Event,class,class
interaction,ConcertEvent,class,class
interaction,TheatricalEvent,class,class
interaction,Show,class,class
interaction,VenueType,enumeration,attribute
interaction,Venue,class,class
interaction,Seat,class,class
interaction,Section,class,class
interaction,ParquetCenter,class,class
interaction,BalconyCenter,class,class
interaction,Date,date,attribute
interaction,Number,integer,attribute
interaction,EmployeeType,enumeration,attribute
interaction,Department,class,class
interaction,Employee,class,class
interaction,Project,class,class
interaction,Name,string,attribute
interaction,Email,string,attribute
interaction,EmployeeId,integer,attribute
interaction,EmployeeNumber,integer,attribute
interaction,ProductionProject,class,class
interaction,ResearchProject,class,class
interaction,EducationProject,class,class
interaction,CommunityProject,class,class
interaction,FundingGroup,class,class
interaction,Title,string,attribute
interaction,Description,string,attribute
interaction,BudgetAmount,float,attribute
interaction,Deadline,date,attribute
interaction,SiteCode,string,attribute
interaction,FundingGroupType,enumeration,attribute
interaction,Id,integer,attribute
interaction,Company,class,class
interaction,Person,class,class
interaction,StudentRole,class,class
interaction,PartTimeStudent,class,class
interaction,FullTimeStudent,class,class
interaction,Course,class,class
interaction,Name,string,attribute
interaction,Id,integer,attribute
interaction,University,class,class
interaction,ResearchCourse,class,class
interaction,Person,class,class
interaction,UserRole,class,class
interaction,Driver,class,class
interaction,Customer,class,class
interaction,Id,integer,attribute
interaction,Email,string,attribute
interaction,PhoneNumber,integer,attribute
interaction,MembershipPackage,class,class
interaction,RideshareSystem,class,class
interaction,Seat,class,class
interaction,DepartureStation,class,class
interaction,Trip,class,class
interaction,ArrivalStation,class,class
interaction,Number,integer,attribute
interaction,SpecificTrip,class,class
interaction,DepartureDate,date,attribute
interaction,DepartureTime,time,attribute
interaction,ArrivalTime,time,attribute
interaction,Price,float,attribute
interaction,RewardType,enumeration,attribute
interaction,TripType,enumeration,attribute
interaction,Person,class,class
interaction,UserRole,class,class
interaction,Guest,class,class
interaction,Loan,class,class
interaction,MemberUser,class,class
interaction,Email,string,attribute
interaction,Address,string,attribute
interaction,Id,integer,attribute
interaction,Book,class,class
interaction,StartDate,date,attribute
interaction,EndDate,date,attribute
interaction,Name,string,attribute
interaction,Barcode,class,class
interaction,Isbn,class,class
interaction,User,class,class
interaction,Collection,class,attribute
interaction,Collection,class,class
interaction,Page,class,class
interaction,Barcode,integer,attribute
interaction,Title,string,attribute
interaction,Number,integer,attribute
interaction,SpecificBook,class,class
interaction,Page,class,attribute
interaction,Isbn,integer,attribute
interaction,LibrarySystem,class,class
interaction,BorrowingSystem,class,class
interaction,AccountType,enumeration,attribute
interaction,Account,class,class
interaction,Customer,class,class
interaction,Branch,class,class
interaction,AccountNumber,integer,attribute
interaction,Bank,class,class
interaction,BankAccount,class,class
interaction,BasicService,class,class
interaction,Person,class,class
interaction,EmployeeRole,class,class
interaction,Teller,class,class
interaction,Manager,class,class
interaction,LoanOfficer,class,class
interaction,ServiceCategory,enumeration,attribute
interaction,User,class,class
interaction,Employee,class,class
interaction,BranchType,enumeration,attribute
interaction,Address,class,class
interaction,TemporaryAddress,string,attribute
interaction,CustomerRole,class,class
interaction,GeneralCustomer,class,class
interaction,VipCustomer,class,class
interaction,Name,string,attribute
interaction,Feature,class,class
interaction,CurveFeature,class,class
interaction,PointFeature,class,class
interaction,Region,class,class
interaction,Name,string,attribute
interaction,Map,class,class
interaction,Height,float,attribute
interaction,Width,float,attribute
interaction,Longitude,float,attribute
interaction,Information,string,attribute
interaction,Latitude,float,attribute
interaction,Scale,float,attribute
interaction,MembershipType,enumeration,attribute
interaction,Membership,class,class
interaction,Artist,class,class
interaction,Id,integer,attribute
interaction,StartDate,date,attribute
interaction,EndDate,date,attribute
interaction,RewardPoint,float,attribute
interaction,Artwork,class,class
interaction,Name,string,attribute
interaction,PhoneNumber,integer,attribute
interaction,Email,string,attribute
interaction,Address,string,attribute
interaction,Gender,enumeration,attribute
interaction,Price,float,attribute
interaction,Title,string,attribute
interaction,Description,string,attribute
interaction,ArtworkType,enumeration,attribute
interaction,Person,class,class
interaction,StudentRole,class,class
interaction,UndergraduateStudent,class,class
interaction,GraduateStudent,class,class
interaction,Name,string,attribute
interaction,Email,string,attribute
interaction,ProjectType,enumeration,attribute
interaction,Project,class,class
interaction,ProjectManagementSystem,class,class
interaction,Title,string,attribute
interaction,Description,string,attribute
interaction,StartDate,date,attribute
interaction,Deadline,date,attribute
interaction,Grade,float,attribute
